[2025-08-13 07:56:52.632] [INFO] Cameraapp main function started
[2025-08-13 07:56:52.704] [INFO] Initializing cameraapp
[2025-08-13 07:57:03.738] [INFO] Cameraapp initialization complete
[2025-08-13 07:57:03.964] [INFO] HK transmission thread started
[2025-08-13 07:57:04.010] [INFO] Camera status update thread started
[2025-08-13 07:57:04.069] [INFO] All cameraapp threads started
[2025-08-13 07:57:04.125] [INFO] Camera data transmission thread started
[2025-08-13 07:57:04.070] [INFO] Camera status changed: IDLE -> READY
[2025-08-13 07:57:04.334] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:04.235] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:04.378] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:04.431] [INFO] Disk usage updated: 0.0% -> 24.0%
[2025-08-13 07:57:05.362] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:05.425] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:05.427] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:06.363] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:06.428] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:06.430] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:07.365] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:07.433] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:07.433] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:08.366] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:08.435] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:08.439] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:09.368] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:09.440] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:09.442] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:10.370] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:10.443] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:10.444] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:11.371] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:11.446] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:11.447] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:12.373] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:12.448] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:12.449] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:13.376] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:13.450] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:13.451] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:14.379] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:14.452] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:14.453] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:15.380] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:15.455] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:15.455] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:16.382] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:16.457] [MSG_SENT] Message 2702 sent to TelemetryApp
