[2025-08-20 12:53:43.287] [INFO] Cameraapp main function started
[2025-08-20 12:53:43.505] [INFO] Initializing cameraapp
[2025-08-20 12:53:55.767] [INFO] Cameraapp initialization complete
[2025-08-20 12:53:56.051] [INFO] Camera status update thread started
[2025-08-20 12:53:56.052] [INFO] Camera status changed: IDLE -> READY
[2025-08-20 12:53:56.039] [INFO] HK transmission thread started
[2025-08-20 12:53:56.075] [INFO] Camera data transmission thread started
[2025-08-20 12:53:56.128] [INFO] All cameraapp threads started
[2025-08-20 12:53:56.340] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:53:56.340] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:53:56.358] [INFO] Disk usage updated: 0.0% -> 24.0%
[2025-08-20 12:53:56.446] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:53:57.447] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:53:57.448] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:53:57.449] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:53:58.449] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:53:58.451] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:53:58.455] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:53:59.450] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:53:59.456] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:53:59.458] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:00.452] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:00.459] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:00.460] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:01.482] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:01.483] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:01.487] [MSG_SENT] Message 2703 sent to FlightLogicApp
